aX,aY,aZ,gX,gY,gZ
-0.222,0.326,0.898,13.733,-2.808,-3.174
-0.216,0.329,0.870,12.634,-4.150,-0.793
-0.214,0.326,0.845,8.484,-5.737,1.526
-0.203,0.319,0.825,1.282,-7.507,2.197
-0.188,0.317,0.823,-5.310,-8.301,2.319
-0.187,0.323,0.826,-9.399,-7.690,3.296
-0.182,0.317,0.842,-13.184,-5.188,4.089
-0.182,0.313,0.878,-15.564,-2.075,5.005
-0.190,0.326,0.920,-14.709,1.282,7.446
-0.188,0.331,0.933,-11.292,4.395,9.521
-0.183,0.326,0.945,-7.324,5.310,10.071
-0.180,0.344,0.945,-2.502,4.517,10.742
-0.178,0.359,0.932,2.686,3.357,10.742
-0.171,0.379,0.905,4.700,2.014,9.888
0.488,2.213,-0.992,61.646,-54.993,33.325
0.425,2.552,-1.031,40.100,-37.903,12.756
0.266,2.850,-0.768,1.465,-33.020,-28.137
-0.201,2.930,-0.303,-48.706,-39.124,-88.806
-0.804,2.749,0.153,-91.675,-37.842,-137.146
-1.213,2.396,0.542,-106.506,-25.879,-138.733
-1.295,2.079,0.733,-92.102,-11.963,-93.628
-1.114,1.904,0.740,-63.599,-9.033,-34.485
-0.728,1.769,0.791,-32.898,-24.109,7.996
-0.349,1.596,0.760,-9.521,-35.950,41.260
-0.043,1.458,0.660,6.042,-24.780,74.341
0.257,1.308,0.510,17.944,-11.169,85.510
0.484,1.138,0.404,20.813,0.549,81.848
0.584,0.994,0.320,14.465,10.071,76.233
0.617,0.848,0.291,4.028,11.292,63.416
0.620,0.724,0.317,-7.202,5.066,47.974
0.558,0.638,0.367,-16.907,1.465,39.185
0.481,0.560,0.425,-28.442,0.854,32.654
0.366,0.510,0.525,-39.063,1.648,27.100
0.228,0.463,0.662,-42.236,2.075,25.085
0.183,0.429,0.774,-39.856,3.357,29.968
0.150,0.433,0.823,-35.950,1.282,34.973
0.098,0.448,0.851,-29.114,-5.310,36.743
0.044,0.466,0.868,-22.705,-12.817,35.828
