aX,aY,aZ,gX,gY,gZ
-0.471,0.447,0.840,9.521,40.649,66.895
-0.500,0.425,0.859,3.906,42.908,73.425
-0.514,0.401,0.874,1.343,47.058,84.290
-0.511,0.394,0.879,2.686,52.734,97.229
-0.448,0.401,0.857,5.310,57.373,110.291
-0.352,0.415,0.835,6.470,56.824,118.713
-0.318,0.420,0.846,4.395,48.035,119.873
-0.313,0.424,0.883,2.258,36.987,114.746
-0.303,0.402,0.913,0.061,29.602,104.736
-0.337,0.372,0.956,-0.244,26.855,93.567
-0.402,0.345,0.991,4.089,30.884,86.426
-0.431,0.327,0.984,11.597,42.603,84.534
-0.431,0.323,0.940,17.761,56.641,86.670
-0.415,0.318,0.878,20.752,66.223,91.125
-0.383,0.289,0.833,19.836,69.153,96.680
-0.336,0.258,0.808,16.479,66.711,104.431
-0.298,0.255,0.813,12.085,60.120,114.197
-0.261,0.268,0.841,5.920,51.819,122.131
-0.236,0.266,0.894,-1.770,43.701,126.404
-0.211,0.246,0.934,-7.080,38.757,127.197
-0.185,0.252,0.953,-7.812,37.476,124.146
-0.190,0.264,0.960,-6.714,38.147,116.089
-0.224,0.266,0.963,-4.639,40.344,104.187
-0.262,0.263,0.949,-1.526,46.082,92.773
-0.280,0.276,0.912,2.136,55.054,84.106
-0.284,0.283,0.873,3.906,64.636,78.552
-0.284,0.285,0.838,3.540,70.068,78.064
-0.273,0.285,0.816,0.366,70.251,81.421
-0.260,0.287,0.812,-5.493,65.063,87.341
-0.254,0.284,0.831,-13.428,56.580,95.032
-0.227,0.274,0.852,-20.447,47.913,103.394
-0.195,0.277,0.890,-24.170,40.833,110.229
-0.183,0.279,0.942,-24.170,35.339,114.441
-0.164,0.301,0.965,-20.264,34.668,117.188
-0.138,0.326,0.959,-16.357,38.086,117.615
-0.126,0.324,0.959,-15.442,43.701,115.417
-0.117,0.317,0.958,-16.052,47.058,110.229
-0.116,0.298,0.945,-15.930,51.514,107.910
-0.118,0.280,0.915,-17.273,55.969,108.887
-0.112,0.275,0.876,-16.968,58.716,111.389
-0.101,0.292,0.828,-16.785,59.204,115.295
-0.070,0.310,0.791,-20.142,58.533,119.934
-0.010,0.311,0.782,-26.367,56.396,122.437
0.086,0.326,0.818,-30.823,52.795,119.202
0.132,0.346,0.885,-32.532,44.739,108.704
0.122,0.337,0.952,-30.334,34.851,92.468
0.099,0.335,0.995,-24.536,31.189,78.003
0.062,0.343,1.007,-16.907,35.156,68.604
0.039,0.343,0.987,-9.094,43.091,61.951
0.026,0.341,0.936,-4.028,50.476,57.190
0.005,0.354,0.900,-2.136,53.040,55.054
-0.017,0.356,0.872,-3.174,50.781,56.763
-0.019,0.352,0.848,-6.409,46.509,60.730
-0.012,0.353,0.843,-9.094,41.565,65.613
0.016,0.356,0.855,-10.681,36.438,70.862
0.073,0.360,0.877,-11.780,31.921,73.608
0.090,0.365,0.909,-11.780,26.428,69.641
-1.756,1.406,0.511,-42.908,-132.996,-164.368
-1.656,1.362,0.427,-29.663,-117.188,-125.671
-1.561,1.251,0.375,-20.569,-104.126,-102.417
-1.507,1.098,0.359,-26.367,-99.548,-81.909
-1.412,0.961,0.404,-33.325,-94.727,-61.401
-1.366,0.867,0.432,-36.133,-79.468,-36.926
-1.284,0.791,0.455,-30.457,-59.448,-17.578
-1.193,0.723,0.486,-28.076,-44.495,-5.188
-1.102,0.667,0.518,-29.541,-30.945,6.531
-1.020,0.617,0.551,-33.325,-20.752,17.334
-0.954,0.586,0.599,-35.767,-13.733,25.024
-0.883,0.562,0.653,-35.095,-8.606,30.334
-0.809,0.529,0.690,-33.813,-4.333,34.790
-0.741,0.523,0.729,-31.921,-5.127,39.185
-0.692,0.507,0.768,-28.076,-5.432,41.809
-0.643,0.510,0.797,-23.071,-3.845,44.434
-0.613,0.537,0.823,-17.517,-1.282,46.204
-0.589,0.552,0.844,-12.024,4.395,45.776
-0.565,0.555,0.833,-8.057,14.526,43.762
-0.541,0.551,0.820,-5.249,24.963,41.870
-0.528,0.555,0.821,0.366,33.142,41.687
-0.503,0.544,0.812,6.226,38.818,42.969
-0.444,0.527,0.795,7.141,40.771,46.692
-0.405,0.499,0.800,4.150,35.278,51.880
-0.367,0.486,0.823,2.197,25.330,57.495
-0.344,0.474,0.851,2.686,16.052,62.378
-0.327,0.462,0.889,5.676,10.864,65.979
-0.310,0.461,0.908,9.277,10.376,67.322
-0.312,0.482,0.916,12.573,13.733,65.796
-0.352,0.496,0.924,14.038,20.569,61.401
-0.391,0.486,0.914,16.724,31.250,55.664
-0.417,0.471,0.866,20.935,43.579,48.950
-0.442,0.483,0.816,20.874,53.528,48.340
-0.461,0.490,0.778,19.836,58.838,51.025
-0.455,0.490,0.737,16.541,57.373,55.908
-0.454,0.474,0.727,12.024,47.546,61.829
