aX,aY,aZ,gX,gY,gZ
0.015,0.383,0.899,1.038,-43.274,-106.384
0.012,0.395,0.879,2.625,-44.922,-100.830
0.004,0.398,0.865,2.686,-48.706,-96.680
-0.014,0.382,0.851,1.831,-53.223,-92.957
-0.022,0.363,0.839,0.610,-57.556,-88.623
-0.015,0.353,0.828,-1.038,-60.303,-83.435
-0.014,0.350,0.825,-3.174,-60.852,-78.796
-0.012,0.337,0.821,-6.165,-60.608,-76.843
-0.002,0.330,0.816,-9.338,-59.265,-76.721
-0.004,0.325,0.812,-12.939,-56.335,-77.637
-0.016,0.316,0.814,-16.663,-52.734,-79.651
-0.022,0.320,0.830,-19.348,-47.913,-81.482
-0.050,0.339,0.867,-21.240,-42.480,-82.336
-0.070,0.343,0.913,-21.667,-36.865,-82.275
-0.076,0.335,0.944,-19.897,-32.837,-80.750
-0.079,0.340,0.951,-16.052,-30.396,-77.148
-0.090,0.349,0.941,-11.902,-31.250,-72.388
-0.091,0.354,0.918,-8.728,-33.813,-67.261
-0.092,0.350,0.892,-7.935,-36.682,-62.073
-0.094,0.334,0.872,-8.972,-39.734,-58.044
-0.087,0.322,0.853,-11.169,-42.236,-55.115
-0.074,0.315,0.840,-14.282,-44.861,-52.673
-0.067,0.322,0.836,-17.883,-46.936,-51.208
-0.069,0.330,0.854,-22.217,-47.485,-50.903
-0.073,0.340,0.881,-25.208,-45.715,-50.476
-0.076,0.354,0.907,-26.245,-41.626,-49.927
-0.085,0.365,0.937,-24.963,-37.292,-49.805
-0.092,0.365,0.951,-22.461,-33.203,-48.889
-0.088,0.351,0.953,-19.104,-29.968,-47.241
-1.466,0.940,0.893,41.870,21.484,119.568
-1.618,0.968,0.774,48.035,32.166,146.545
-1.665,0.959,0.618,53.406,50.293,172.852
-1.648,0.939,0.466,57.983,70.679,192.993
-1.631,0.909,0.375,58.472,86.243,207.886
-1.553,0.859,0.338,54.749,98.999,222.717
-1.397,0.834,0.318,49.683,112.244,242.004
-1.197,0.839,0.324,43.518,123.047,264.038
-1.006,0.885,0.367,36.316,131.775,285.950
-0.832,0.939,0.425,31.372,143.372,306.580
-0.607,0.968,0.476,29.114,155.579,322.021
-0.370,1.024,0.491,31.128,168.884,333.435
-0.169,1.061,0.483,33.386,176.758,338.013
0.032,1.083,0.448,35.217,179.687,335.571
0.215,1.082,0.398,33.447,177.612,329.163
0.423,1.075,0.369,27.832,170.227,320.740
0.644,1.077,0.380,18.677,158.936,311.401
0.847,1.078,0.434,7.446,145.630,297.119
1.020,1.021,0.507,-5.554,135.132,276.245
1.122,0.951,0.589,-14.587,128.540,253.418
1.197,0.914,0.639,-15.808,126.404,234.741
1.293,0.891,0.659,-14.648,127.441,216.919
1.394,0.861,0.679,-14.587,126.892,197.876
1.484,0.840,0.692,-16.357,122.375,175.354
1.548,0.780,0.713,-19.287,113.037,147.217
1.612,0.702,0.760,-19.348,98.450,115.479
1.588,0.744,0.751,-23.315,85.022,88.196
1.583,0.684,0.718,-21.973,99.854,74.341
1.575,0.674,0.743,-13.855,75.745,44.983
1.546,0.631,0.772,-11.169,48.279,11.658
